grid_id,lon_min,lat_min,lon_max,lat_max,centroid_lon,centroid_lat,forest_cover,wetland_density,disturbance_index,low_disturbance,climate_resilience,biodiversity
CELL_0001,-109.50000000000183,49.000000000001236,-109.40990990991172,49.09009009009136,-109.45495495495517,49.0450356099588,0.7860498076392942,0.035618130697531725,0.002085403875472014,0.9979145961245279,0.6387559969268908,0.3209361537800095
CELL_0002,-109.50000000000183,49.09009009009135,-109.40990990991173,49.18018018018145,-109.45495495495517,49.13512567192917,0.7644270629970379,0.046648101840070254,0.03224501478884302,0.967754985211157,0.6230514810712998,0.3274195140099515
CELL_0003,-109.50000000000183,49.180180180181445,-109.40990990991173,49.270270270271524,-109.45495495495516,49.225215733740164,0.7429072433974606,0.05749821116449783,0.062176159029840555,0.9378238409701595,0.6073868674675842,0.33379715238955
CELL_0004,-109.50000000000183,49.270270270271524,-109.40990990991172,49.360360360361625,-109.45495495495511,49.31530579539108,0.7215022085989979,0.06814392995170152,0.09184997519960461,0.9081500248003954,0.5917657130378086,0.3400546510640404
CELL_0005,-109.50000000000182,49.36036036036162,-109.40990990991172,49.45045045045172,-109.45495495495507,49.40539585688124,0.7002247605175121,0.07855653005125447,0.12123380855062212,0.8787661914493778,0.5761912413296685,0.3461751237745606
CELL_0006,-109.50000000000182,49.4504504504517,-109.40990990991172,49.540540540541784,-109.45495495495507,49.495485918209845,0.6790883237703471,0.08870232627175821,0.15029104285545314,0.8497089571445469,0.5606658585830375,0.3521387705390952
CELL_0007,-109.50000000000182,49.54054054054178,-109.4099099099117,49.6306306306319,-109.45495495495504,49.5855759793762,0.6581095121285183,0.09854677949937342,0.17898112888842282,0.8210188711115771,0.5451944988111928,0.35792528944441626
CELL_0008,-109.50000000000182,49.63063063063188,-109.4099099099117,49.72072072072198,-109.45495495495503,49.67566604037953,0.6373505851451731,0.10812216585445227,0.207259916643337,0.792740083356663,0.5298399041948815,0.3635536522278351
CELL_0009,-109.50000000000182,49.72072072072196,-109.4099099099117,49.81081081081207,-109.45495495495501,49.76575610121909,0.6167754780257132,0.11730094003596331,0.23508041477275657,0.7649195852272435,0.5145359438055248,0.36894888841830176
CELL_0010,-109.5000000000018,49.81081081081206,-109.4099099099117,49.90090090090215,-109.45495495495497,49.85584616189412,0.5963904242557061,0.12602003035973205,0.26239400080282427,0.7376059991971757,0.49927075553514555,0.3740739248046966
CELL_0011,-109.5000000000018,49.90090090090213,-109.4099099099117,49.99099099099224,-109.45495495495494,49.94593622240384,0.403076075199344,0.1342078524807492,0.4717482382035657,0.5282517617964343,0.3341227864035041,0.3788866844777038
CELL_0012,-109.5000000000018,49.99099099099223,-109.40990990991169,50.08108108108233,-109.45495495495493,50.036026282747486,0.5114950010870675,0.14178289870843355,0.36244487654429625,0.6375551234557038,0.43007434805473727,0.38333925763658855
CELL_0013,-109.5000000000018,50.08108108108232,-109.40990990991169,50.1711711711724,-109.4549549549549,50.12611634292426,0.5143823527781017,0.148654161106722,0.3639803230846578,0.6360196769153422,0.43445479670652504,0.38737815028525113
CELL_0014,-109.5000000000018,50.1711711711724,-109.40990990991169,50.26126126126252,-109.4549549549549,50.21620640293334,0.517390313083301,0.15472280819107323,0.36485348244810245,0.6351465175518975,0.4387200426948427,0.3909452697860898
CELL_0015,-109.5000000000018,50.261261261262504,-109.40990990991169,50.35135135135259,-109.45495495495487,50.30629646277396,0.5204713071531613,0.15988560692919757,0.3650457115407483,0.6349542884592517,0.44280064174134215,0.3939799362944054
CELL_0016,-109.50000000000179,50.35135135135258,-109.40990990991168,50.44144144144267,-109.45495495495486,50.3963865224453,0.5235656574469504,0.1640404431339519,0.3645518783149997,0.6354481216850003,0.44661697616547746,0.396422127616914
